method,roles,supported_data,claim_ceiling,theory_dependent,simulation_only,assumptions,safeguards
ACTIVE_LEARNING_DATA_ACQUISITION,DATA_ACQUISITION;PREDICTION,MULTIMODAL,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,TRUE,sampling/query policy does not induce unmodelled selection,selection logging; holdout validation; no self-confirming acquisition
ADAPTIVE_RANDOMISED_DESIGN,CAUSAL_IDENTIFICATION;SEQUENTIAL_EVIDENCE,EXPERIMENTAL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,adaptation rule prespecified and estimand remains identifiable,simulate operating characteristics; preserve type-I error/coverage
AGENT_BASED_SIMULATION,MECHANISM;PREDICTION,MULTIMODAL;NETWORK,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,TRUE,,calibrate externally; simulation is not evidence of mechanism truth
AGE_PERIOD_COHORT,DESCRIPTION;TEMPORAL_CHANGE,PANEL;TIME_SERIES,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,declare identification constraint; do not overinterpret non-identifiable APC components
ARGUMENTATION_ANALYSIS,INTERPRETATION,CONVERSATION;TEXT_CORPUS,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,
BAYESIAN_EVIDENCE_SYNTHESIS,EVIDENCE_SYNTHESIS,MULTIMODAL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,,prior sensitivity; evidence-dependency adjustment; model criticism
BAYESIAN_MODEL_AVERAGING,EVIDENCE_SYNTHESIS;ROBUSTNESS,CROSS_SECTIONAL;LONGITUDINAL;PANEL,ASSOCIATION_OBSERVED,FALSE,FALSE,,prior sensitivity; do not treat posterior model probability as causal truth
BIBLIOMETRIC_NETWORK_ANALYSIS,DESCRIPTION;DIFFUSION,BIBLIOMETRIC;NETWORK,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,citation is not validity; report database coverage
BLIND_ANALYSIS,ROBUSTNESS;BIAS_DIAGNOSIS,MULTIMODAL,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,mask exposure/outcome labels or key contrasts during pipeline development where feasible
CALIBRATION_WEIGHTING_SURVEY,DESCRIPTION;TRANSPORTABILITY,SURVEY;CROSS_SECTIONAL;LONGITUDINAL,ASSOCIATION_OBSERVED,FALSE,FALSE,target margins valid; inclusion probabilities estimable,weight diagnostics; trimming sensitivity; design effects
CAUSAL_DISCOVERY_HYPOTHESIS_GENERATION,MECHANISM,CROSS_SECTIONAL;LONGITUDINAL;TIME_SERIES,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,hypothesis generation only unless independently identified; declare discovery assumptions
CAUSAL_FOREST_HTE,CAUSAL_IDENTIFICATION;HETEROGENEITY,CROSS_SECTIONAL;LONGITUDINAL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,,honest/sample-split estimation; external validation; prespecified estimand
CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,MECHANISM;MEDIATION,LONGITUDINAL,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,FALSE,FALSE,mediator-outcome confounding addressed; temporal order; well-defined interventional contrast,
CHANGE_POINT_DETECTION,TEMPORAL_CHANGE,TEXT_CORPUS;TIME_SERIES,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,change point does not identify cause
CITATION_LINEAGE_DEPENDENCY,BIAS_DIAGNOSIS;EVIDENCE_SYNTHESIS,BIBLIOMETRIC;NETWORK,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,collapse shared cohorts/data sources; identify guideline ancestry and circular citation
CLUSTERING_DISCOVERY_ONLY,HETEROGENEITY;PREDICTION,CROSS_SECTIONAL;MULTIMODAL,DESCRIPTIVE_EVIDENCE_ONLY,FALSE,FALSE,,discovery only; stability testing; no causal interpretation
CLUSTER_RANDOMISED,CAUSAL_IDENTIFICATION;CONTRAST,EXPERIMENTAL;HIERARCHICAL,STRONG_REPLICATED_CAUSAL_EVIDENCE,FALSE,FALSE,cluster randomisation valid; interference structure declared,cluster-aware inference; recruitment bias audit; ICC accounted for
