control_id,kind,invariant_ids,applies_to_hypotheses,always_required,decision_table_cases,reachability_state
RCTRL-GENOMIC-IDENTITY,AUTHORISATION,SHORTCUT-10,,False,4,REACHABLE
RCTRL-PRIVATE-CONTEXT,AUTHORISATION,SHORTCUT-1,,False,4,REACHABLE
RCTRL-POLICY-HARM,AUTHORISATION,SHORTCUT-8,H13,False,4,REACHABLE
RCTRL-ADJUSTMENT-SET,STRUCTURAL,SHORTCUT-3;SHORTCUT-4;C53,H2;H4;H5;H6;H7;H8;H9;H10;H12;H13,False,4,REACHABLE
RCTRL-PROHIBITED-CONCLUSION,AUTHORISATION,F5,,True,4,REACHABLE
RCTRL-CLAIM-SCOPE,AUTHORISATION,F5;P1,,True,3,REACHABLE
RCTRL-RESEARCH-GOVERNANCE,AUTHORISATION,RG1;RG2;RG3,,True,3,REACHABLE
RCTRL-MEASUREMENT-VALIDITY,EVIDENTIAL,M1;M2;C71;C72,H1;H3;H4;H5;H7;H8;H9;H10;H12;H14,False,3,REACHABLE
RCTRL-TEMPORAL-IDENTIFICATION,STRUCTURAL,T1;T2;C53,H2;H5;H8;H9;H10;H12;H13,False,3,REACHABLE
RCTRL-SELECTION-BIAS,EVIDENTIAL,S1;S2;S3,H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H12;H13;H14,False,2,REACHABLE
RCTRL-MULTIPLICITY,EVIDENTIAL,STAT1,H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14,False,3,REACHABLE
RCTRL-POWER,EVIDENTIAL,STAT2,H1;H2;H3;H4;H5;H6;H7;H8;H9;H10;H11;H12;H13;H14,False,3,REACHABLE
RCTRL-REPRODUCIBILITY,STRUCTURAL,R1;R2,,True,2,REACHABLE
RCTRL-ACADEMIC-DEPENDENCY,EVIDENTIAL,A1;A2,H11,False,2,REACHABLE
RCTRL-CONVERSATION-INFLUENCE,EVIDENTIAL,I1;I2,H10,False,2,REACHABLE
RCTRL-EXPOSURE-INFLUENCE,EVIDENTIAL,I3;I4,H5;H12,False,2,REACHABLE
