proposition_id,model_family,domain,statement,prediction,falsifier,required_workstreams,primary_outcome_construct,temporal_requirement,maximum_claim_state,status
IR01,INTRINSIC_RECOGNITION,Intrinsic origin,Gender-related identity/presentation is substantially independent of measured social and institutional exposures.,"After robust pre-exposure adjustment, social/institutional exposures add little causal explanatory power.",Prospective exposure changes consistently precede and predict later identity/presentation after negative controls and selection adjustment.,W01;W02;W04;W12,gender-related presentation/referral,pre-exposure baseline and longitudinal follow-up,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
IR02,INTRINSIC_RECOGNITION,Developmental continuity,"Early, persistent presentations show substantial longitudinal continuity.",Early persistent presentation predicts later persistence across cohorts.,Large proportions show discontinuity under stable measurement and adequate follow-up.,W01;W02;W04;W12,gender-related presentation/referral,pre-exposure baseline and longitudinal follow-up,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
IR03,INTRINSIC_RECOGNITION,Recognition/access,"A major portion of referral growth reflects reduced stigma, greater recognition and improved service access.",Referral growth tracks disclosure/access indicators even where exposure/policy environments differ.,"Growth remains large after modelling access, service capacity, ascertainment and disclosure.",W01;W02;W04;W12,gender-related presentation/referral,pre-exposure baseline and longitudinal follow-up,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
IR04,INTRINSIC_RECOGNITION,Cross-jurisdiction robustness,Comparable underlying prevalence emerges across jurisdictions after measurement harmonisation.,Harmonised prevalence estimates converge despite different policy/cultural environments.,Large stable differences persist after measurement and ascertainment harmonisation.,W01;W02;W04;W12,gender-related presentation/referral,pre-exposure baseline and longitudinal follow-up,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
IR05,INTRINSIC_RECOGNITION,Family/biological contribution,Familial or biological factors contribute to individual variation.,Family/genetic/developmental indicators improve validated models beyond social exposure alone.,Well-powered family/genetic evidence consistently shows no incremental signal.,W01;W02;W04;W12,gender-related presentation/referral,pre-exposure baseline and longitudinal follow-up,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
IR06,INTRINSIC_RECOGNITION,Exposure non-necessity,Substantial numbers present without identifiable prior gender-related media/peer/institutional exposure.,Cases occur across low-exposure contexts and historical periods.,Near-universal temporally prior exposure is observed with credible measurement.,W01;W02;W04;W12,gender-related presentation/referral,pre-exposure baseline and longitudinal follow-up,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
IR07,INTRINSIC_RECOGNITION,Stable construct measurement,Core constructs show measurement invariance across cohorts/eras.,Validated instruments retain factor structure and meaning over time.,Measurement invariance fails substantially across cohorts or diagnostic regimes.,W01;W02;W04;W12,gender-related presentation/referral,pre-exposure baseline and longitudinal follow-up,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
IR08,INTRINSIC_RECOGNITION,Acceptance-mediated disclosure,Greater social acceptance primarily affects disclosure rather than origin.,Acceptance predicts timing of disclosure/referral more than onset of underlying distress.,Acceptance/exposure predicts onset before disclosure independent of baseline distress.,W01;W02;W04;W12,gender-related presentation/referral,pre-exposure baseline and longitudinal follow-up,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD01,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Neurodevelopment,"Neurodevelopmental phenotype modifies presentation, communication, distress or trajectory.",Autism/ADHD traits interact with developmental/social exposures and/or measurement.,Interactions fail replication and measurement-invariance concerns explain apparent effects.,W03;W04;W06;W12,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD02,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Psychiatric temporality,Psychiatric symptoms contribute differently depending on whether they precede or follow gender-related distress.,Pre-onset symptoms and post-onset symptoms show distinct associations/mechanisms.,Temporal decomposition shows no meaningful difference.,W03;W04;W06;W12,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD03,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Pubertal development,Pubertal/body-development factors modify onset or intensity for some individuals.,Within-person changes align temporally with puberty/body distress in reproducible subgroups.,No temporal or subgroup association after measurement correction.,W03;W04;W06;W12,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD04,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Peer diffusion,Peer-network structure contributes to diffusion for some individuals beyond homophily.,Longitudinal network models detect influence after separating selection/homophily.,Apparent clustering is fully explained by selection and shared environment.,W03;W04;W06;W12,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD05,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Digital exposure,Passive/algorithmic exposure contributes for some individuals beyond active self-search.,Platform-derived passive exposure precedes outcome after baseline-interest controls.,"Effects disappear when baseline interest, search behaviour and selection are modelled.",W03;W04;W06;W12,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD06,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Educational environment,"School policy/framing influences terminology, disclosure, social transition or help-seeking.",Policy adoption/change produces measurable differential change versus comparators.,No effect in DiD/event-study/synthetic-control designs.,W05;W01;W02,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD07,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Clinical framing,Clinical framing affects diagnostic formulation or pathway decisions.,Blinded vignettes/observational audits show systematic decision differences by framing.,No reproducible framing effect under blinded conditions.,W02;W08;W09;W13,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD08,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Differential diagnosis,Variation in differential-diagnostic depth changes pathway allocation.,Greater diagnostic exploration predicts different pathway decisions/outcomes after case-mix adjustment.,No association after robust adjustment or randomised vignette testing.,W02;W08;W09;W13,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD09,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Guideline diffusion,Changes in professional guidance alter clinical practice beyond contemporaneous patient mix.,Practice changes follow guideline shifts with appropriate temporal lag and comparator control.,Practice changes precede guidance or occur similarly in non-adopting settings.,W02;W08;W09;W13,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD10,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Advocacy/institutional diffusion,Advocacy and institutional networks contribute to diffusion of concepts/policies.,Network/process tracing shows temporally ordered transfer into policy/guidance.,No traceable transfer or independent parallel development better explains change.,W07;W09;W10;W11,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD11,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Academic selection,Knowledge-production processes may preferentially amplify some explanatory frameworks.,"Registration-to-publication, funding or citation analyses show direction-dependent selection after quality adjustment.",No direction-dependent selection after design/quality/discipline controls.,W07;W09,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
MD12,MULTIFACTORIAL_DEVELOPMENTAL_INSTITUTIONAL,Media framing,Media discourse changes concept availability and public interpretation.,Semantic/framing changes precede or track population changes with plausible lag.,Discourse changes follow outcomes or have no independent predictive value.,W10;W11;W01;W07,onset/identity/referral/pathway/outcome,longitudinal; exposure must precede outcome,LIMITED_CAUSAL_EVIDENCE,PREREGISTER_BEFORE_OUTCOME_ANALYSIS
