variable_id,source_domain,name,primary_research_domain,secondary_research_domains,default_method_families,timing,preferred_source,measurement_requirements,inference_boundary
BIO-001,Biological/physical,Age at index presentation,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Baseline,EHR / participant,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
BIO-002,Biological/physical,Sex recorded at birth,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Baseline,birth/EHR record,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
BIO-003,Biological/physical,Pubertal stage,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Repeated,paediatric/endocrine record,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
BIO-004,Biological/physical,Age at puberty onset,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Historical,clinical/participant,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
BIO-005,Biological/physical,Age at menarche where applicable,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Historical,clinical/participant,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
BIO-006,Biological/physical,Secondary sex-characteristic development timing,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Historical,clinical/participant,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
BIO-007,Biological/physical,Differences of sex development diagnosis,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Baseline,specialist record,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
BIO-008,Biological/physical,Endocrine disorder history,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Baseline,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO,Not evidence of causation by itself
BIO-009,Biological/physical,Thyroid function trajectory,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Repeated,laboratory,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
BIO-010,Biological/physical,Sex-steroid laboratory values where clinically obtained,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Repeated,laboratory,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
BIO-011,Biological/physical,BMI/weight trajectory,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
BIO-012,Biological/physical,Chronic physical illness burden,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Repeated,EHR,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
BIO-013,Biological/physical,Disability/functional limitation,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Repeated,EHR/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
BIO-014,Biological/physical,Pain burden,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Repeated,EHR/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
BIO-015,Biological/physical,Sleep duration/quality,GENOMIC_BIOLOGICAL,CLINICAL_DEVELOPMENTAL,SURVIVAL_EVENT_HISTORY;MULTILEVEL_HIERARCHICAL_MODEL;MEASUREMENT_ERROR_MODEL,Repeated,device/PRO,PROVENANCE_VERIFIED;TIMING_RELATIVE_TO_TIME_ZERO;VALIDATED_MEASUREMENT_OR_MEASUREMENT_MODEL;LONGITUDINAL_MEASUREMENT_CONSISTENCY,Not evidence of causation by itself
