workstream_id,workstream,data_to_accumulate,source_ids,scientific_purpose,priority,access_summary
W01,Population denominators and trend decomposition,"Population size, age, sex, geography, identity/prevalence measures, survey denominators, time trends",DS013;DS014;DS015,Establish what changed before explaining why; standardise rates and separate prevalence from ascertainment.,P0,OPEN_AGGREGATE;RESTRICTED_TRE
W02,"NHS referrals, diagnoses and service pathways","Referral dates, service contacts, diagnoses, procedures, waiting times, provider/geography, outcomes",DS001;DS002;DS003;DS004;DS047;DS061;DS062,"Quantify service presentation, ascertainment, pathway change and downstream outcomes.",P0,OPEN_AGGREGATE;RESTRICTED_STUDY;RESTRICTED_TRE
W03,Primary care and psychiatric/neurodevelopmental history,"GP records, psychiatric diagnoses, autism/ADHD, medication, symptoms, trauma proxies, prior service use",DS004;DS005;DS003,Establish temporal ordering and heterogeneity before/after gender-related presentation.,P0,RESTRICTED_LICENSED;RESTRICTED_TRE
W04,"Longitudinal development, family and cohort data","Puberty/development, mental health, family, peers, school, social context, repeated measures, genetics where justified",DS018;DS020;DS021;DS019;DS007;DS008;DS009,Reconstruct developmental trajectories and test competing pathway models.,P0/P1,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE
W05,"Education, safeguarding and school implementation","NPD outcomes, school policy, RSHE materials, safeguarding guidance, implementation dates, local variation",DS016;DS054;DS055;DS056;DS057,Test educational-policy exposure and implementation effects using quasi-experimental and multilevel designs.,P0,MIXED_ACCESS;OPEN_CORPUS;REQUEST_BASED;RESTRICTED_ADMIN
W06,"Digital, social-media and peer exposure","Platform use, search behaviour, recommendation exposure where obtainable, peer-network measures, media-use surveys",DS022;DS023;DS024;DS025;DS026;DS027,"Separate active searching, passive exposure, homophily, peer diffusion and temporal ordering.",P0/P1,APPLICATION_API;MIXED_ACCESS;OPEN;PUBLIC_API_LIMITED;RESTRICTED_API;RESTRICTED_RESEARCH_API
W07,Academic knowledge-production and publication selection,"Works, authors, institutions, citations, funding, preregistration, trials, reviews, retractions, publication timing",DS033;DS034;DS035;DS036;DS037;DS038;DS039;DS040;DS041;DS042;DS043;DS044;DS059,Measure publication/citation/guideline diffusion while collapsing shared datasets and research lineages.,P0/P1,LICENSED;MIXED_ACCESS;OPEN;OPEN_API;PUBLIC_WEB
W08,"Historical psychiatry, diagnostic nosology and treatment doctrine","DSM/ICD definitions, textbooks/archives, diagnostic criteria, differential diagnosis, treatment recommendations, semantic change",DS049;DS050;DS051;DS052;DS060,"Identify regime changes, semantic shifts, mechanism links and historical critical junctures.",P0/P1,ARCHIVE_MIXED;LICENSED_ARCHIVE;LICENSED_CORPUS;MIXED_ACCESS;OPEN_ARCHIVE
W09,"Clinical guidelines, professional bodies and NHS policy","NICE, NHS specifications, Cass implementation, professional guidance, commissioning/service documents",DS045;DS046;DS048;DS058;DS063,"Trace how evidence moves into guidance, training, service configuration and clinical practice.",P0,MIXED_ACCESS;OPEN_CORPUS
W10,"Government, legal and parliamentary policy corpus","GOV.UK consultations, archived government pages, Hansard, legislation, FOI material",DS029;DS030;DS031;DS032;DS057,"Reconstruct policy chronology, institutional framing and implementation mechanisms.",P0/P1,OPEN;OPEN_ARCHIVE;REQUEST_BASED
W11,Media and public discourse,"News corpora, web archives, GDELT, lexical/semantic/framing data over time",DS028;DS052;DS053;DS060,"Measure discourse, framing and semantic diffusion without treating discourse change as causal proof.",P1,LICENSED;LICENSED_ARCHIVE;OPEN;OPEN_ARCHIVE
W12,Primary qualitative and narrative evidence,"Longitudinal interviews, clinical/patient narratives where lawfully available, clinician accounts, coded consultation material",DS064;DS062,"Test narrative development, mechanism hypotheses and context not captured by administrative data.",P0,PRIMARY_RESEARCH;RESTRICTED_STUDY
W13,Designed experiments and replication studies,"Preregistered vignettes, framing A/B/n, factorial designs, measurement validation, independent replication",DS065,Discriminate explanations where observational evidence cannot identify the mechanism.,P0,PRIMARY_RESEARCH
