criterion_id,category,requirement,status,evidence
G100-001,SCOPE_NEUTRALITY,Research-only boundary,PASS,OSLT_ARCHITECTURE_v2_0_RC1.md:OSLT is an experimental research architecture
G100-002,SCOPE_NEUTRALITY,No clinical decision authority,PASS,OSLT_ARCHITECTURE_v2_0_RC1.md:not a clinical
G100-003,SCOPE_NEUTRALITY,Neutral rival hypotheses,PASS,OSLT_ARCHITECTURE_v2_0_RC1.md:rival
G100-004,SCOPE_NEUTRALITY,Identity truth/falsity prohibited,PASS,oslt_research/vocabulary.py:IDENTITY_TRUE
G100-005,SCOPE_NEUTRALITY,Individual causal attribution prohibited,PASS,oslt_research/vocabulary.py:INDIVIDUAL_CAUSAL_ATTRIBUTION
G100-006,SCOPE_NEUTRALITY,Paper-count shortcut prohibited,PASS,oslt_research/vocabulary.py:PAPER_COUNT_PROVES_TRUTH
G100-007,SCOPE_NEUTRALITY,Citation-count shortcut prohibited,PASS,oslt_research/vocabulary.py:CITATION_COUNT_PROVES_VALIDITY
G100-008,SCOPE_NEUTRALITY,Linguistic persuasion shortcut prohibited,PASS,oslt_research/vocabulary.py:LINGUISTIC_ALIGNMENT_PROVES_PERSUASION
G100-009,SCOPE_NEUTRALITY,Single causal model prohibited,PASS,oslt_research/vocabulary.py:SINGLE_CAUSAL_MODEL_APPLIES_TO_ALL
G100-010,SCOPE_NEUTRALITY,Theory-dependent methods bounded,PASS,OSLT_ARCHITECTURE_v2_0_RC1.md:theory-dependent
G100-011,CAUSAL_IDENTIFICATION,Explicit estimand,PASS,oslt_research/estimand.py:estimand
G100-012,CAUSAL_IDENTIFICATION,Explicit time zero,PASS,oslt_research/estimand.py:time_zero
G100-013,CAUSAL_IDENTIFICATION,Adjustment set,PASS,oslt_research/estimand.py:adjustment_set
G100-014,CAUSAL_IDENTIFICATION,DAG role vocabulary,PASS,oslt_research/vocabulary.py:COLLIDER
G100-015,CAUSAL_IDENTIFICATION,Rival explanation engine,PASS,oslt_research/hypotheses.py:RivalExplanationResult
G100-016,CAUSAL_IDENTIFICATION,Reverse causation control,PASS,oslt_research/identification.py:REVERSE_CAUSATION
G100-017,CAUSAL_IDENTIFICATION,Negative controls,PASS,oslt_research/estimand.py:negative_control
G100-018,CAUSAL_IDENTIFICATION,Positive controls,PASS,oslt_research/estimand.py:positive_control
G100-019,CAUSAL_IDENTIFICATION,Counterfactual contrast layer,PASS,oslt_research/contrast.py:ContrastType
G100-020,CAUSAL_IDENTIFICATION,DAG model criticism method,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:DAG_MODEL_CRITICISM
G100-021,MEASUREMENT_DATA,Measurement validity control,PASS,oslt_research/measurement.py:MEASUREMENT
G100-022,MEASUREMENT_DATA,Measurement invariance,PASS,oslt_research/measurement.py:MeasurementInvariance
G100-023,MEASUREMENT_DATA,Differential item functioning,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:DIFFERENTIAL_ITEM_FUNCTIONING
G100-024,MEASUREMENT_DATA,Item response theory,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:ITEM_RESPONSE_THEORY
G100-025,MEASUREMENT_DATA,Measurement error modelling,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:MEASUREMENT_ERROR_MODEL
G100-026,MEASUREMENT_DATA,Misclassification analysis,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:LABEL_NOISE_MISCLASSIFICATION
G100-027,MEASUREMENT_DATA,Linkage error analysis,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:RECORD_LINKAGE_ERROR_ANALYSIS
G100-028,MEASUREMENT_DATA,Missingness diagnostics,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:MISSINGNESS_MECHANISM_DIAGNOSTICS
G100-029,MEASUREMENT_DATA,Variable ontology preserved,PASS,OSLT_VARIABLE_METHOD_CROSSWALK_v2_0_RC1.csv:ROWCOUNT=640
G100-030,MEASUREMENT_DATA,Variable universal-weight prohibition,PASS,OSLT_ARCHITECTURE_v2_0_RC1.md:VARIABLE IMPORTANCE
G100-031,METHOD_SELECTION_CONTRAST,Method catalogue >=90,PASS,OSLT_ANALYTICAL_METHOD_REGISTER_v2_0_RC1.csv:RANDOMISED_AB_TEST
G100-032,METHOD_SELECTION_CONTRAST,Method router,PASS,oslt_research/router.py:MethodRouter
