variable_id,variable_domain,variable_name,preferred_source_declared_in_ontology,primary_source_ids,secondary_source_ids,primary_source_data_types,access_classes,acquisition_phase,timing_requirement,sensitivity,linkage_note
BIO-001,Biological/physical,Age at index presentation,EHR / participant,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Baseline,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-002,Biological/physical,Sex recorded at birth,birth/EHR record,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Baseline,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-003,Biological/physical,Pubertal stage,paediatric/endocrine record,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-004,Biological/physical,Age at puberty onset,clinical/participant,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-005,Biological/physical,Age at menarche where applicable,clinical/participant,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-006,Biological/physical,Secondary sex-characteristic development timing,clinical/participant,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Historical,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-007,Biological/physical,Differences of sex development diagnosis,specialist record,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Baseline,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-008,Biological/physical,Endocrine disorder history,EHR,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Baseline,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-009,Biological/physical,Thyroid function trajectory,laboratory,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
BIO-010,Biological/physical,Sex-steroid laboratory values where clinically obtained,laboratory,DS004;DS018;DS020,DS007;DS008,"GP diagnoses; symptoms; prescriptions; tests; referrals; demographics; HES; deaths | Development, family, mental health, education, peers, social context; linked/genetic modules | Development, mental health, family, biology, genetics, questionnaires, clinics",MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PHASE_1_OR_2,Repeated,Medium,Candidate source mapping only; verify field-level availability and construct validity before application.
