research_domain,kernel_label,method,status,claim_ceiling,theory_dependent,simulation_only,supported_data
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,CAUSAL_FOREST_HTE,ANCHOR,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,False,False,CROSS_SECTIONAL;LONGITUDINAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,MEASUREMENT_INVARIANCE,ANCHOR,DESCRIPTIVE_EVIDENCE_ONLY,False,False,CROSS_SECTIONAL;LONGITUDINAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,SEQUENCE_ANALYSIS,ANCHOR,DESCRIPTIVE_EVIDENCE_ONLY,False,False,EVENT_TIME;LONGITUDINAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,SURVIVAL_EVENT_HISTORY,ANCHOR,ASSOCIATION_OBSERVED,False,False,EVENT_TIME;LONGITUDINAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,ACTIVE_LEARNING_DATA_ACQUISITION,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,True,MULTIMODAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,AGENT_BASED_SIMULATION,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,True,MULTIMODAL;NETWORK
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,BAYESIAN_EVIDENCE_SYNTHESIS,COMPATIBLE_CANDIDATE,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,False,False,MULTIMODAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,BAYESIAN_MODEL_AVERAGING,COMPATIBLE_CANDIDATE,ASSOCIATION_OBSERVED,False,False,CROSS_SECTIONAL;LONGITUDINAL;PANEL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,BLIND_ANALYSIS,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,False,MULTIMODAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,CALIBRATION_WEIGHTING_SURVEY,COMPATIBLE_CANDIDATE,ASSOCIATION_OBSERVED,False,False,CROSS_SECTIONAL;LONGITUDINAL;SURVEY
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,CAUSAL_DISCOVERY_HYPOTHESIS_GENERATION,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,False,CROSS_SECTIONAL;LONGITUDINAL;TIME_SERIES
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,COMPATIBLE_CANDIDATE,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,False,False,LONGITUDINAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,CLUSTERING_DISCOVERY_ONLY,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,False,CROSS_SECTIONAL;MULTIMODAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,COMPETING_RISKS_MULTISTATE,COMPATIBLE_CANDIDATE,ASSOCIATION_OBSERVED,False,False,EVENT_TIME;LONGITUDINAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,CONTRIBUTION_ANALYSIS,COMPATIBLE_CANDIDATE,ASSOCIATION_OBSERVED,False,False,ARCHIVAL;MULTIMODAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,CROSSOVER_RANDOMISED,COMPATIBLE_CANDIDATE,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,False,False,EXPERIMENTAL;REPEATED_MEASURES
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,CROSS_METHOD_TRIANGULATION,COMPATIBLE_CANDIDATE,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,False,False,ARCHIVAL;BIBLIOMETRIC;CONVERSATION;CROSS_SECTIONAL;EVENT_TIME;HIERARCHICAL;INTERVIEW;LONGITUDINAL;MULTIMODAL;NETWORK;PANEL;REPEATED_MEASURES;SPATIAL;TEXT_CORPUS;TIME_SERIES
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,DAG_MODEL_CRITICISM,COMPATIBLE_CANDIDATE,ASSOCIATION_OBSERVED,False,False,MULTIMODAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,DECISION_CURVE_ANALYSIS,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,False,CROSS_SECTIONAL;LONGITUDINAL
CLINICAL_DEVELOPMENTAL,Clinical & developmental heterogeneity,DIFFUSION_CASCADE_ANALYSIS,COMPATIBLE_CANDIDATE,ASSOCIATION_OBSERVED,False,False,EVENT_TIME;NETWORK
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,DYNAMIC_STRUCTURAL_EQUATION_MODEL,ANCHOR,ASSOCIATION_OBSERVED,False,False,LONGITUDINAL;REPEATED_MEASURES
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,NARRATIVE_ANALYSIS,ANCHOR,DESCRIPTIVE_EVIDENCE_ONLY,True,False,INTERVIEW;TEXT_CORPUS
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,PSYCHODYNAMIC_FORMULATION,ANCHOR,DESCRIPTIVE_EVIDENCE_ONLY,True,False,ARCHIVAL;INTERVIEW
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,STRUCTURAL_EQUATION_MODEL,ANCHOR,ASSOCIATION_OBSERVED,False,False,CROSS_SECTIONAL;LONGITUDINAL
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,ACTIVE_LEARNING_DATA_ACQUISITION,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,True,MULTIMODAL
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,AGENT_BASED_SIMULATION,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,True,MULTIMODAL;NETWORK
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,BAYESIAN_EVIDENCE_SYNTHESIS,COMPATIBLE_CANDIDATE,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,False,False,MULTIMODAL
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,BAYESIAN_MODEL_AVERAGING,COMPATIBLE_CANDIDATE,ASSOCIATION_OBSERVED,False,False,CROSS_SECTIONAL;LONGITUDINAL;PANEL
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,BLIND_ANALYSIS,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,False,MULTIMODAL
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,CALIBRATION_WEIGHTING_SURVEY,COMPATIBLE_CANDIDATE,ASSOCIATION_OBSERVED,False,False,CROSS_SECTIONAL;LONGITUDINAL;SURVEY
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,CAUSAL_DISCOVERY_HYPOTHESIS_GENERATION,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,False,CROSS_SECTIONAL;LONGITUDINAL;TIME_SERIES
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,CAUSAL_FOREST_HTE,COMPATIBLE_CANDIDATE,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,False,False,CROSS_SECTIONAL;LONGITUDINAL
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,CAUSAL_MEDIATION_INTERVENTIONAL_EFFECTS,COMPATIBLE_CANDIDATE,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,False,False,LONGITUDINAL
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,CLUSTERING_DISCOVERY_ONLY,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,False,CROSS_SECTIONAL;MULTIMODAL
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,COMPETING_RISKS_MULTISTATE,COMPATIBLE_CANDIDATE,ASSOCIATION_OBSERVED,False,False,EVENT_TIME;LONGITUDINAL
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,CONTRIBUTION_ANALYSIS,COMPATIBLE_CANDIDATE,ASSOCIATION_OBSERVED,False,False,ARCHIVAL;MULTIMODAL
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,CROSSOVER_RANDOMISED,COMPATIBLE_CANDIDATE,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,False,False,EXPERIMENTAL;REPEATED_MEASURES
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,CROSS_METHOD_TRIANGULATION,COMPATIBLE_CANDIDATE,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,False,False,ARCHIVAL;BIBLIOMETRIC;CONVERSATION;CROSS_SECTIONAL;EVENT_TIME;HIERARCHICAL;INTERVIEW;LONGITUDINAL;MULTIMODAL;NETWORK;PANEL;REPEATED_MEASURES;SPATIAL;TEXT_CORPUS;TIME_SERIES
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,DAG_MODEL_CRITICISM,COMPATIBLE_CANDIDATE,ASSOCIATION_OBSERVED,False,False,MULTIMODAL
PSYCHIATRIC_PSYCHOLOGICAL,Psychiatric & psychological formulation,DECISION_CURVE_ANALYSIS,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,False,CROSS_SECTIONAL;LONGITUDINAL
ACADEMIC_EPISTEMIC,Academic epistemic production & diffusion,BIBLIOMETRIC_NETWORK_ANALYSIS,ANCHOR,DESCRIPTIVE_EVIDENCE_ONLY,False,False,BIBLIOMETRIC;NETWORK
ACADEMIC_EPISTEMIC,Academic epistemic production & diffusion,CITATION_LINEAGE_DEPENDENCY,ANCHOR,DESCRIPTIVE_EVIDENCE_ONLY,False,False,BIBLIOMETRIC;NETWORK
ACADEMIC_EPISTEMIC,Academic epistemic production & diffusion,PUBLICATION_SELECTION_MODEL,ANCHOR,ASSOCIATION_OBSERVED,False,False,BIBLIOMETRIC;MULTIMODAL
ACADEMIC_EPISTEMIC,Academic epistemic production & diffusion,RANDOMISED_AB_TEST,ANCHOR,STRONG_REPLICATED_CAUSAL_EVIDENCE,False,False,EXPERIMENTAL
ACADEMIC_EPISTEMIC,Academic epistemic production & diffusion,REGISTRY_PUBLICATION_COMPARISON,ANCHOR,DESCRIPTIVE_EVIDENCE_ONLY,False,False,ARCHIVAL;BIBLIOMETRIC
ACADEMIC_EPISTEMIC,Academic epistemic production & diffusion,ACTIVE_LEARNING_DATA_ACQUISITION,COMPATIBLE_CANDIDATE,DESCRIPTIVE_EVIDENCE_ONLY,False,True,MULTIMODAL
ACADEMIC_EPISTEMIC,Academic epistemic production & diffusion,ADAPTIVE_RANDOMISED_DESIGN,COMPATIBLE_CANDIDATE,MODERATE_TRIANGULATED_CAUSAL_EVIDENCE,False,False,EXPERIMENTAL
