variable_id,domain,canonical_name,candidate_causal_role,measurement_type,unit_or_encoding,temporal_anchor,preferred_source,candidate_primary_source_ids,candidate_secondary_source_ids,access_classes,privacy_class,participant_consent_rule,minimum_quality_gate,missingness_rule,linkage_rule,provenance_required,inference_boundary,acquisition_status
BIO-001,Biological/physical,Age at index presentation,Confounder/Moderator,TEMPORAL_NUMERIC,years,Baseline,EHR / participant,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-002,Biological/physical,Sex recorded at birth,Moderator,CATEGORICAL_OR_CODED,categorical,Baseline,birth/EHR record,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-003,Biological/physical,Pubertal stage,Exposure/Moderator,TEMPORAL_NUMERIC,Tanner/clinical stage,Repeated,paediatric/endocrine record,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-004,Biological/physical,Age at puberty onset,Exposure/Moderator,TEMPORAL_NUMERIC,years,Historical,clinical/participant,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-005,Biological/physical,Age at menarche where applicable,Exposure/Moderator,TEMPORAL_NUMERIC,years,Historical,clinical/participant,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-006,Biological/physical,Secondary sex-characteristic development timing,Exposure/Moderator,TEMPORAL_NUMERIC,age/date,Historical,clinical/participant,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,YES_IF_PRIMARY_PARTICIPANT_DATA,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-007,Biological/physical,Differences of sex development diagnosis,Confounder/Moderator,CATEGORICAL_OR_CODED,coded diagnosis,Baseline,specialist record,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-008,Biological/physical,Endocrine disorder history,Confounder,CATEGORICAL_OR_CODED,coded diagnosis,Baseline,EHR,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-009,Biological/physical,Thyroid function trajectory,Confounder/Outcome,MIXED_OR_SOURCE_SPECIFIC,TSH/T4,Repeated,laboratory,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
BIO-010,Biological/physical,Sex-steroid laboratory values where clinically obtained,Exposure/Moderator,MIXED_OR_SOURCE_SPECIFIC,lab values,Repeated,laboratory,DS004;DS018;DS020,DS007;DS008,MIXED_ACCESS;RESTRICTED_COHORT;RESTRICTED_TRE,PERSON_LEVEL_SENSITIVE,NO_IF_VALID_SECONDARY_LEGAL_GATEWAY,Exact field/instrument verified; definition versioned; time coverage confirmed; missingness quantified; construct validity assessed,Do not code unavailable as absent; preserve UNKNOWN/NOT_MEASURED; predefine imputation/sensitivity in SAP,Use approved pseudonymous keys in TRE where applicable; never use direct identifiers in analysis layer,source_id; dataset/version; field name; collection date; transformation; codebook citation; hash/query,Not evidence of causation by itself,UNVERIFIED_FIELD_AVAILABILITY
